id	title	abstract	keywords
108	政治关联、国际化战略与企业价值——来自中国民营上市公司面板数据的分析	本文以中国2006-2010年期间上市的所有民营公司为样本,探讨民营企业在母国的政治关联对其国际化成长的促进作用与机制,并通过细分国际化的维度,考察了在母国具有政治关联与不具有政治关联的民营企业在国际化战略层面提升企业价值的具体路径差异。本文主要结论如下:第一,企业国际化对企业价值总体上具有正向影响,其中国际化深度对企业绩效具有正向的促进作用,国际化广度对企业绩效具有一定程度的负向影响;第二,民营企业在母国的政治关联对其国际化程度总体上不具有显著的正向作用。但进一步发现,民营企业的母国政治关联对国际化深度具有显著的正向促进作用,但却显著地负向影响国际化广度;第三,母国的制度环境对民营企业政治关联与国际化之间关系具有显著的调节作用。进一步研究发现,制度环境对民营企业政治关联与国际化深度之间的关系具有显著的正向调节作用,而对于政治关联与国际化广度之间关系具有显著的负向调节作用;第四,总体上,相对于不具有政治关联的民营企业而言,在母国已构建了政治关联的民营企业所实施的国际化战略更有可能带来公司绩效的提升。我们进一步发现,政治关联型民营企业的国际化深度对企业短期经营状况的改善具有明显的作用;但长期而言,政治关联型民营企业的国际化深度对公司的市场价值却并没有显著的提高。而在母国无政治关联型民营企业的业绩受到国际化广度显著的正面影响,但国际化深度对企业绩效却不存在显著的正向影响。进一步验证了民营企业在母国的政治关联对其国际化路径或模式选择具有显著的调节影响。	政治关联 国际化 国际化深度 国际化广度
109	政治关联与公开债务融资	本文以2005-2013年沪深两市A股上市公司为样本,从公开债务融资选择、规模和期限三个维度,实证检验了政治关联与公开债务融资的关系。研究表明,董事长或总经理的政治关联更有利于公司获取公开债务融资;相对国有企业而言,这一影响在民营企业中更为显著。而同一期间内我们没有找到政治关联对私人债务融资具有显著影响的证据。这表明,债券市场的政府管制特征和商业银行的股份制改革改变了公司债务融资活动中的寻租行为,公司更倾向于通过政治关联获取公开债务融资,而不是银行借款等私人债务融资;进一步推动债券发行中的市场化改革,构建公平的市场环境,是我国未来债券市场改革的重要方向。	政治关联 所有权性质 公开债务融资
110	中国周边地缘政治与地缘经济格局和对策	"在对19世纪末和20世纪西方代表性地缘政治与地缘经济理论进行重点介绍的基础上,分析了中国周边地缘政治与地缘经济的历史和现状特点,阐述了中国周边地缘政治与地缘经济的基本格局与发展态势,即:北部地缘政治关系紧密,地缘经济发展较快;西部地缘政治关系持续发展,地缘经济合作前景广阔;西南部为地缘政治破碎带,地缘经济极具潜力;南部地缘政治与地缘经济关系总体良好,但南海问题是不稳定因素;东部地缘政治热点问题敏感复杂,地缘经济结构相对稳定。最后提出了改善提升中国周边地缘政治关系与发展地缘经济的""北联、西进、南合、东拓""地缘战略及对策建议。"	地缘政治 地缘经济 地缘战略 周边国家
111	互联网的政治性使用与我国公众的政治信任——一项经验性研究	"现代社会的媒体已成为公共领域信任关系的中介。公众对互联网的政治性使用可能对政治信任产生复杂、多元的影响。本文总结出媒体使用对政治信任的两种影响路径:直接的认知效果和社会资本的中介效果,并分析互联网作为公众政治认知、互动、表达和参与的媒介,对其政治信任水平的可能影响。对一项2010—2011年全国性公众调查数据的分析表明,作为传统媒体的报纸和电视与作为新媒体的互联网,具有不同的政治涵义。当控制住各种可能的影响因素后,在网上接触海外""另类媒介""越多、网上公共事务参与越频繁的公众,其政治信任水平越低;但网上政治信息获取、政治互动和表达与政治信任水平之间没有显著的联系。研究还发现,传统媒体在""涵化""公众政治信任方面的功效极其微弱,体现出新媒体互联网对传统媒体政治传播效果的""挤迫效应""。本研究的结果提请相关管理部门以互联网为平台展开有效的政府-公众沟通,以提升公众的政治信任水平。未来研究有必要采用随机样本,同时需要对政治信任概念的测量更加精细化。"	媒体 政治信任 互联网 社会资本
112	“一带一路”的地缘政治想象与地区合作	"从批判地缘政治学的角度观之,""一带一路""构想是中国领导层在新的国内、国际背景下提出的一种战略叙事,这种叙事蕴含了一种中国对广阔的亚欧非大陆进行描述的新地缘政治想象。这种地缘政治想象可被称为太极式想象,它不仅在空间想象上契合中国的太极图式,其合作理念也符合太极图式对于世界万物的理解。太极式的地缘政治想象有助于克服传统地缘政治想象存在的不足与盲点,该构想有可能为""天下制度""奠定物质基础、超越了传统""中心—边缘""的思维模式、具有克服海权—陆权两分法的潜力。除了提供一种认识世界地理空间的新颖想象,""一带一路""构想蕴含的太极式地缘政治想象还能为中国加强与""一带一路""沿线国家或地区开展合作提供诸多启示。以大国势力云集的中亚地区为例,太极式地缘政治想象能够产生对于中亚地区的新认知,并为促进中国与中亚国家共建""一带一路""提供一些具体启示。当然,""一带一路""地缘政治想象的新颖与独特之处仅仅只是潜在的,关键在于如何将其转化为现实。"	“一带一路” 地缘政治想象 战略叙事 太极
113	国企高管政治晋升对企业并购行为的影响——基于企业成长压力理论的实证研究	"虽然企业成长压力是所有高管都要面临的重要课题,但对我国具有""准官员""性质的国企高管而言,却有着更为""与众不同""的意义:由于国企承担着较多的政策性负担,使得""企业成长速度""指标取代了包含很多噪音的""企业绩效""指标(即国企普遍采用的""规模导向型""发展方式),成为国企高管政治晋升中的一个重要评判筹码。当然,这也意味着对于具有不同政治晋升机会的高管而言,他们面临的成长压力会有所差异:与那些政治晋升机会较低的高管相比,政治晋升机会较高的高管面临的成长压力相对较大。并购作为企业实现快速成长的重要方式之一,自然成为那些追求政治晋升高管的最佳选择。有鉴于此,本文拟基于企业成长压力理论考察国企高管政治晋升对企业并购行为的影响。文章基于2004~2013年国有上市公司的并购数据,研究发现:与政治晋升机会较低的国企高管相比,当国企高管面临的政治晋升机会较高时,企业选择并购成长方式的可能性较高,在并购交易中支付的溢价水平相对较高,并购后取得的短期并购绩效虽无显著差异,但长期并购绩效却显著较差。当企业自身内生成长速度特别是相对自身历史的内生成长速度较慢(即高管面临的内生成长压力较大)时,高管政治晋升对上述并购行为(并购成长方式选择、并购交易价格支付、并购绩效)的影响就会越强。"	高管政治晋升 并购行为 成长压力 国有企业
114	市场化、政治价值观与中国居民的政府信任	"本文利用CGSS2010的数据,考察市场化背景下中国居民政治价值观的变化及其对政府信任的影响。研究发现:第一,随着市场化的推进,居民权威主义的政治价值观明显趋于弱化,但民主主义的政治价值观没有统计上的显著变化;第二,中国居民政府信任水平的东、中、西区域差异显著,市场化进程与居民政府信任水平呈线性递减关系;第三,权威主义的政治价值观对居民的政府信任水平有促进作用,但这种正向影响会随着市场化进程愈发弱化,而民主主义的政治价值观对居民的政府信任水平不具有统计上的显著影响。文章最后指出,中国居民当前的政治价值观可能正处于过渡期,这种""过渡型""政治价值观既包含对传统权威主义的高度认同,也隐含现代民主主义精神。此外,在市场化改革背景下,理性思维日益占据主导地位,因此,提升政府信任的最直接途径可能还在于提高政府工作绩效。"	市场化 政治价值观 民主主义 权威主义
115	司法机关依法独立行使职权研究	我国的司法机关依法独立行使职权原则强调法院整体的独立性,实践中依法独立行使职权原则异化为司法的地方化以及司法的行政化。在司法改革的背景下,应当把握改革契机,推动司法机关依法独立行使职权。在我国,应当淡化司法独立的政治色彩,构建以依法独立行使职权为核心的司法独立,并排斥案外因素的影响,以司法的法律效果为根本追求。依法独立行使职权原则要处理好与党的领导的关系。为了确保独立司法,还必须结合司法改革的社会背景,从内、外两个方面统筹协调,整体推进司法机关依法独立行使职权。	司法机关 独立行使职权 司法改革 依法办案
116	移动新闻推荐技术及其应用研究综述	随着移动设备的普及和新闻读者群体人数的不断增加,移动新闻推荐已经成为移动推荐领域的热点之一.如何根据移动设备和新闻特点进行移动新闻推荐,以提高推荐性能和用户满意度,成为移动新闻推荐系统的主要任务.文中概括分析了移动新闻推荐的研究现状,并指出其与传统新闻推荐、其他移动推荐之间的区别.从新闻表示方法,移动用户新闻偏好获取,上下文感知的移动新闻推荐技术,基于社会化网络的移动新闻推荐技术,移动新闻展示以及典型应用等六个关键方面,对移动新闻推荐领域的最新研究成果进行了详细的比较、分析和总结.文中还从重点、难点两个方面讨论分析了移动新闻推荐系统面临的挑战.并指出为了进一步发展移动新闻推荐系统,未来还需要在数据集获取,效用评估,结合移动社会化网络,安全问题,形式化描述等方面深入开展一些研究工作.	个性化 上下文感知 移动社交网络 移动新闻推荐
117	“液态”的新闻业:新传播形态与新闻专业主义再思考——以澎湃新闻“东方之星”长江沉船事故报道为个案	"新传播形态究竟为新闻业带来哪些改变?新闻专业主义在今天还有什么意义和价值吗?在对澎湃新闻进行系统参与式观察和深度访谈的基础上,通过对""东方之星""长江沉船事故报道进行个案分析可以发现,新闻业正呈现出""液化""状态。新闻生产体现为职业记者和公众共同参与的动态实践;媒介机构不再是新闻事件的唯一阐释主体,基于互联网社交平台,新闻报道的价值和意义经由公众的集体参与而被不断重塑;新闻生产流通的速度大大加快,颠覆了工业化时代以报纸新闻为主的新闻生产流程和常规;新闻职业社区的专业控制和社会大众的开放参与之间,形成了强大的张力,组织化新闻生产正在变成协作性新闻""策展""(curation)。"	新闻专业主义 新闻生产 协作性新闻“策展” “液态”的新闻业
118	走向公共:新闻专业主义再出发	"随着新信息技术的广泛应用,媒体业态以及相应的传播生态正在发生深刻变化,新闻业因此""面临危机""。新闻业何去何从?新闻专业主义这一职业意识形态是否仍具有现实的相关性?本文认为,新闻专业主义仍然具有规范新闻实践的重大意义,原因在于,新闻业为民主的公共生活所不可或缺,新闻专业主义蕴含理性交往模式,构成民主的公共生活。在人人生产并通过社交媒体分享信息的""技术民主""当中,新闻专业主义需要以理性交往模式为""元传播范本""展开重新阐释,并以之与现实条件相勾连。本文梳理了当下业界和学界关涉新闻专业主义的表述,借助不同学科的社会和文化理论,重新阐发了新闻专业主义的内涵和意义,以及在新的传播生态中再出发的可能及路径。"	新闻专业主义 元传播 话语 公共生活
119	数据新闻:“讲一个好故事”?——数据新闻对传统新闻的继承与变革	"新闻生产研究表明,媒介会试图发展出一定的样式来组织、构建及展示讯息并形成常规。对样式常规的认识有助于人们反思固定样式所带来的认知局限与偏见。而正在兴起的数据新闻实践中,""故事""作为传统新闻样式常规之一,在众多数据新闻生产者的话语里频繁出现。数据新闻是依然在讲述传统价值与假设下的故事,还是已经形成了新的结构样式?如果是后者,这种样式体现出哪些特征?蕴含着何种价值观及潜在意义?通过分析数据新闻生产者的认知经验性文本及其建构的文本——数据新闻作品,既可以看到新技术条件下重组后的新闻编辑室对传统新闻价值与样式的继承,也可以看到新闻采集、呈现及其理念的变革。数据新闻依然以叙事为中心,但这种叙事已经建立在新的技术与理念的基础上,并且是讲述一个由数据驱动的、可视化的新闻故事,一个关乎读者且读者可以自己讲述的故事,一个更能把握真实、抵达真相的故事。"	数据新闻 故事 新闻常规 新技术
120	微信新闻:一个交往生成观的分析	微信不仅仅是新闻传播的渠道或平台,也是新闻生成的空间。不同于组织化、专业化的新闻生产,微信的新闻生成是在交往中生产,其新闻方式是作为交往的新闻。这种新的新闻方式打破了大众媒体新闻生产中生产与消费的二元对立和线性序列,是一种无本原的生产。微信的新闻生成以文本间性(互文性)的方式呈现,形成了多重连接、交叉并置的互文,不断创造新的信息与世界图景,创造出含混、多维的意义。而且,微信新闻生成重塑了人们的时空体验,模糊了时新性、真实性、事实与意见、专业与业余、公共与私人等传统新闻生产所依赖并强化的固有边界,因而表征了全新的新闻范式。	微信交往 生成 互文性 新闻生产
121	西方数据新闻中的中国:一个视觉修辞分析框架	"数据新闻创设了一种通往现实认知的新的""视觉框架""(visual frame),由此引申出框架分析中一个亟待突破的理论命题——""视觉框架分析""(visual framing analysis)。在西方数据新闻的涉华报道中,""视觉框架""的生产本质上取决于五种具体的内在关联的修辞实践——数据修辞、关系修辞、时间修辞、空间修辞和交互修辞。正是在西方话语极为隐蔽的视觉""标出""行为中,中国在视觉意义上被推向海德格尔特别批判的""异化的共在""状态,并最终被建构为全球语境中的""数据他者""(the data other)。这一过程既是在数据维度上展开的,又是通过视觉修辞实践(visual rhetorics)完成的。"	数据新闻 涉华报道 视觉框架 视觉修辞
122	著作权法中不受保护的“时事新闻”	"""时事""是客观事实,""新闻""是一种文体,""时事新闻""是用""新闻""这种文体对某种客观事实的表达。著作权法上所谓不受保护的""时事新闻""应指受合并原则限制的对特定客观事实的表达或不具有原创性的表达。相对于文字性表达来说,用可视的方式表达特定客观事实受合并原则限制的可能性较小。因此,在通常情况下,照片报道、图片报道和音像报道等可视的表达方式不属于著作权法中不受保护的""时事新闻""。""时事新闻""是一种表达方式,只有""时事""本身才具有时效性,""表达""并不具有""时效性"",因此,""时事新闻""的时效性是个伪命题,据此所做的司法判决当然也缺乏合理性。""时事""的提供者可能付出了艰辛劳动和大量投资,尽管""时事新闻""可能受合并原则限制或不满足原创性要件而不受著作权法保护,但恶意窃取他人劳动成果的行为应属不正当竞争行为。"	时事新闻 思想表达两分法 合并原则 不正当竞争
123	电子政务知识体系框架研究	"本文从概念界定、文献综述、构建思路、构建过程等方面对电子政务知识体系进行分析总结,认为:为了更好地理解电子政务,有必要对电子政务已有的学术成果进行分析与整合,以便从中提炼出一个具有内在逻辑结构的电子政务知识体系,并建立起适合的知识体系框架。研究采用""逻辑起点论""与""问题系统论""两种方法论,最终提出一个由基本概念、基本理论、基本原理和规律、技术理论知识、管理服务理论知识五个模块构成的电子政务知识体系框架,每个模块中的知识内容来源于电子政务问题研究者的各种思想和观点。通过该电子政务知识体系框架,人们能够更好地把握电子政务各种属性和关系的内在联系,进一步审视当前电子政务研究的状态和效果,同时也对电子政务的实践活动起到一定的指导和借鉴作用。图4。表2。参考文献25。"	电子政务 知识体系 知识框架
124	电子病历命名实体识别和实体关系抽取研究综述	电子病历(Electronic medical records,EMR)产生于临床治疗过程,其中命名实体和实体关系反映了患者健康状况,包含了大量与患者健康状况密切相关的医疗知识,因而对它们的识别和抽取是信息抽取研究在医疗领域的重要扩展.本文首先讨论了电子病历文本的语言特点和结构特点,然后在梳理了命名实体识别和实体关系抽取研究一般思路的基础上,分析了电子病历命名实体识别、实体修饰识别和实体关系抽取研究的具体任务和对应任务的主要研究方法.本文还介绍了相关的共享评测任务和标注语料库以及医疗领域几个重要的词典和知识库等资源.最后对这一研究领域仍需解决的问题和未来的发展方向作了展望.	电子病历 命名实体识别 实体关系抽取 共享评测任务
125	电子诉讼制度构建的法律基础	电子诉讼的发展经历了内部电子法院与电子诉讼(外部电子法院)两个阶段。在法本质上,电子诉讼中信息通讯技术的工具性虽然能够满足司法实用主义的需求,但不应在根本上改变诉讼的价值与结构。在立法论上,立法与法律解释构成了电子诉讼制度构建的两个进路,法律解释方法有利于兼顾诉讼法的完整性与开放性,立法路径则要求妥善处理诉讼原则与技术应用之间的关系。在功能论视角,电子诉讼的发展应在诉讼阶段细分的基础上引入相应技术措施,适应不同的程序保障需要;对小额诉讼程序和督促程序则可试行全程化电子诉讼。在技术保障层面,电子法律交往需要法律上的安全性及真实性保障,应通过立法明确技术规制的方法与限度。	电子诉讼 电子法院 电子法律交往 电子送达
126	电子证据的关联性	关联性是电子证据在法庭上运用的关键性指标。作为一种虚拟空间的证据,电子证据用于定案必须同时满足内容和载体上的关联性。前者是指其数据信息要同案件事实有关,后者突出表现为虚拟空间的身份、行为、介质、时间与地址要同物理空间的当事人或其他诉讼参与人关联起来。这些关联性的良好实现,有赖于我国电子证据规则、刑事民事取证制度以及司法鉴定技术规范的创新。大数据的出现和发展,为电子证据的关联性理论带来了新的挑战。	电子证据 大数据 关联性 证据规则
127	从电子商务法到网络商务法——关于我国电子商务立法定位的思考	伴随《电子签名法》的颁布,由联合国示范引导的国际社会电子商务立法的目标在我国已经基本实现,现今我国再次提起制定电子商务法应当具有超越示范法的立法定位。目前电子商务已经向纵深阶段发展,渗透至各个领域,因此所面临的法律问题也具有多样性和渗透性,我们不可能在一部法中解决电子商务发展面临的所有问题。因此,电子商务立法应当有清晰的定位。建议制定网络商务法,按照商法的目的和价值建构规范网络经营行为的法律体系。	电子商务 网络商务 电子商务立法
128	基于扎根理论方法的中俄跨境电子商务发展研究	中俄互为重要的战略伙伴国家,在新形势下两国双边贸易合作亟待加强,而跨境电子商务贸易作为一种新型高效的贸易手段,对中俄两国的经贸发展具有十分重大的意义。本文对中俄跨境电子商务发展基础进行了分析,运用扎根理论研究方法构建了中俄跨境电子商务影响因素模型,对模型详细分析,并提出中俄跨境电子商务发展战略,从而为中国政府和企业加速推进中俄跨境电子商务发展提供了策略和建议。	中俄贸易 跨境电子商务 扎根理论 发展战略
129	我国跨境电子商务的发展模式与策略建议	"本文根据系统论的分析方法,在分析跨境电子商务的系统内涵和兴起动因的基础上,提出我国跨境电子商务发展模式——云平台物流发展模式,指出跨境物流及其全球化布局是我国跨境电子商务发展的命脉,信息化的产业整合是我国跨境电子商务发展的根本,并从跨境法制规范体系和信用制度、跨境综合云服务和云监管平台、跨境电商国际话语权和主动权的争取、跨境物流云服务供应链的全球布局和我国企业转型升级""走出去""等五个方面进行策略建议,裨益我国跨境电子商务的发展和崛起。"	跨境电子商务 跨境云平台物流发展模式 跨境综合云服务和云监管平台 跨境物流云服务供应链
130	互联网金融发展、电子货币替代与预防性货币需求	本文以互联网发展为背景,以电子货币为视角,将其引入货币需求的分析框架,通过对惠伦模型的修正,建立了基于电子货币的货币需求模型,从而揭示电子货币对预防性货币需求的影响机制。同时对电子货币与预防性需求的相关性进行了实证检验。研究表明:(1)电子货币是推动互联网金融发展的重要因素,它的产生促进了电子商务、网络经济的快速发展及互联网金融模式的创新。(2)电子货币的发展不仅会对预防性现金需求产生替代,还会加速不同层次货币之间的转化,使转化成本降低,从而减少预防性货币需求。(3)实证结果显示,转化成本、机会成本、流动性比率及电子货币替代率对预防性货币需求存在显著影响。在此基础上,本文提出了相关的建议。	互联网金融 电子货币 替代效应 预防性货币需求
131	ICT、移动支付与电子货币	随着信息通信技术(ICT)的发展和移动终端普及率的提高,移动支付完全有可能取代现金和信用卡成为主要的支付方式。移动支付是电子货币形态的主要表现形式,电子货币是移动支付存在的基础,二者具有网络规模效应,而预期在移动支付和电子货币网络规模效应中起着关键作用,随着移动支付和电子货币网络规模效应的凸显,移动支付的低交易成本优势得到充分发挥,从而减少了人们对现金货币的需求,改变了货币需求的形式。同时,中央银行和利润最大化的企业并行发行货币,将会冲击货币供给。货币需求形式的改变和电子货币的私人供给,将会使得货币控制的有效性大大降低,这时需要中央银行发明新的货币政策工具来应对这一冲击。	移动支付 电子货币 网络规模效应 货币需求
132	学生对电子书包的态度及理解研究	随着移动网络和移动技术的高速发展,电子书包吸引了人们的眼球。但不同人群对电子书包褒贬不一,直接影响其发展。基于此,本研究试图梳理与总结学生对电子书包的态度与理解,从而找出电子书包应用和推广的策略。通过问卷调查法与访谈法,研究者对广东省佛山市197名高中生调查结果显示:大部分学生对电子书包内涵有一致的理解并认可电子书包的价值,认为自己适合使用电子书包的学科是语文和英语;女生与电子书包使用经验丰富的学生更认可电子书包的价值;网龄长的学生对待网络管理方式更开放;男学生、电子书包经验少的学生、网龄长的学生对使用电子书包态度更积极。对此笔者建议:持续跟踪电子书包一线教学的发展,及时满足学生的需求;学生之间应该开展小组协作,共同完成教师的任务;教师应给学生更多的空间运用电子书包进行学习,以满足学生个性化学习需要。	电子书包 态度 理解 调查研究
133	中国城市电子商务发展水平空间分布特征及影响因素	"以2015年6月阿里研究院提供的中国294个地级及以上城市的电子商务发展指数为基础,运用空间分析法和多元线性回归,从省域和城市两个层级分析电子商务发展水平的空间分布特征,并探讨其影响因素。研究表明:1中国城市电子商务发展水平整体偏低,省域层级呈现出自东部沿海向西部内陆由高到低的阶梯状分布特征;城市层级东部沿海三大经济区与内陆之间、各省区主要地级市与次要地级市之间两种分异并存。2电子商务发展水平的等级规模结构呈现省域层面均衡分布,首位省区的垄断性较弱;城市层面发展水平差距较大。3城市电子商务主要处于""低网购—低网商""和""高网购—高网商""两种发展状态,电子商务发展的""两极化""现象比较严重。4热点集聚区主要集中在长三角、海峡西岸及珠三角经济区;冷点集聚区主要集中在甘肃、青海、新疆及云南部分地级市。5影响因素分析表明人口规模、受教育程度、信息化程度及信息基础设施是影响我国电子商务发展水平空间分布的主要因素;城市居民应用电子商务的水平受经济发展水平、受教育程度、信息化程度、信息基础设施影响显著;企业使用电子商务的水平则受人口规模、信息化程度及信息基础设施因素影响显著。"	电子商务水平 空间分布 影响因素 中国
134	农业电子商务国内外研究现状与展望	本文以农业电子商务研究为综述对象,基于“中国知网”遴选出36篇国内期刊文献,基于Scopus数据库遴选出31篇国外期刊文献。国外文献在研究方法和研究内容上略显丰富,但研究对象主要是涉农企业。国内文献以宏观论述和定性研究居多,今后需要逐步过渡到理论创新和定量研究;研究内容主要涉及中国农业电子商务发展形势以及诸多特色鲜明的发展模式,未来要加强不同模式间的比较研究;对于企业层面的模式,重点研究企业的管理创新以及相关主体的利益联结机制;对于县域层面的模式,重点研究其形成与演化机理,考量其可复制性和推广路径;另外,还要关注平台企业的农村战略、农资电商等其他视角和题材。	农业 农产品 涉农企业 电子商务
135	第三方支付机构跨境电子支付服务监管的法律问题	"随着支付机构跨境电子商务外汇支付业务的试点,该领域的有效监管成为近年来监管领域讨论的热点问题。第三方支付服务机构的""非金融机构""属性决定了它在简单适用现有金融监管体制时表现出不协调性,并造成其在外汇管理体制中的法律地位不明确。同时,由于它提供服务性质的模糊性,使得跨境支付中的消费者权益不能得到""金融消费者""式的保障。究其根本在于,法律位阶较低背景下的非金融机构支付服务监管基本法律制度中缺少""跨境电子支付服务""的详细规定,《外汇管理条例》的修改亦未跟进。跨境电子支付的法律监管一要合理配置监管权责、保证权责统一,完善非金融机构支付服务基本法律制度,合理界定第三方机构的外汇管理职能;二要强化WTO相关国际规则的法律解释,并参照《有效银行监管核心原则》完善第三方支付机构和境外机构的准入监管,以及建立以《国际贷记划拨示范法》为基础的区域性监管合作机制。"	第三方支付机构 跨境电子支付服务 外汇管理 监管模式
